,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,all,BirthCoords,BirthLat,BirthLon
3154,1668,"Morris, Michael",Male,born 1942,1942.0,,"East Sussex, United Kingdom",,http://www.tate.org.uk/art/artists/michael-morris-1668,,"(50.9085955, 0.2494166)",50.9085955,0.2494166
3155,2096,"Vaughan, Keith",Male,1912–1977,1912.0,1977.0,"East Sussex, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/keith-vaughan-2096,,"(50.9085955, 0.2494166)",50.9085955,0.2494166
3156,388,"Morris, William",Male,1834–1896,1834.0,1896.0,"Walthamstow, United Kingdom","Saugus, United States",http://www.tate.org.uk/art/artists/william-morris-388,,"(51.5901769, -0.0173437)",51.5901769,-0.0173437
3157,12243,"Smith, John",Male,born 1952,1952.0,,"Walthamstow, United Kingdom",,http://www.tate.org.uk/art/artists/john-smith-12243,,"(51.5901769, -0.0173437)",51.5901769,-0.0173437
3158,1674,"Moynihan, Rodrigo",Male,1910–1990,1910.0,1990.0,"Santa Cruz de la Palma, España",,http://www.tate.org.uk/art/artists/rodrigo-moynihan-1674,,"(28.6839885, -17.7645747)",28.6839885,-17.7645747
3159,6009,"Müller, Matthias",Male,born 1961,1961.0,,"Bielefeld, Deutschland",,http://www.tate.org.uk/art/artists/matthias-muller-6009,,"(52.0302285, 8.532470800000002)",52.0302285,8.532470800000002
3160,392,"Mulready, William",Male,1786–1863,1786.0,1863.0,"Ennis, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/william-mulready-392,,"(52.8474255, -8.988738399999999)",52.8474255,-8.988738399999999
3161,1677,"Muncaster, Claude",Male,1903–1974,1903.0,1974.0,"Horsham, United Kingdom",,http://www.tate.org.uk/art/artists/claude-muncaster-1677,,"(51.062883, -0.325858)",51.062883,-0.325858
3162,1678,"Munch, Edvard",Male,1863–1944,1863.0,1944.0,"Løten, Norge","Oslo, Norge",http://www.tate.org.uk/art/artists/edvard-munch-1678,,"(60.87146319999999, 11.3507331)",60.87146319999999,11.3507331
3163,1681,"Murphy, John",Male,born 1945,1945.0,,"Saint Albans, United Kingdom",,http://www.tate.org.uk/art/artists/john-murphy-1681,,"(51.752725, -0.339436)",51.752725,-0.339436
3164,2157,"Wiseman, Albany",Male,born 1930,1930.0,,"Saint Albans, United Kingdom",,http://www.tate.org.uk/art/artists/albany-wiseman-2157,,"(51.752725, -0.339436)",51.752725,-0.339436
3165,2179,"Yhap, Laetitia",Female,born 1941,1941.0,,"Saint Albans, United Kingdom",,http://www.tate.org.uk/art/artists/laetitia-yhap-2179,,"(51.752725, -0.339436)",51.752725,-0.339436
3166,2344,"Murphy, Myles",Male,born 1927,1927.0,,"Bury, United Kingdom",,http://www.tate.org.uk/art/artists/myles-murphy-2344,,"(53.5933498, -2.2966054)",53.5933498,-2.2966054
3167,1684,"Murtic, Edo",Male,1921 – 2005,1921.0,2005.0,"Bjelovar, Hrvatska","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/edo-murtic-1684,,"(45.8987972, 16.8423093)",45.8987972,16.8423093
3168,1685,"Music, Zoran",Male,1909–2005,1909.0,2005.0,"Gorizia, Italia","Venezia, Italia",http://www.tate.org.uk/art/artists/zoran-music-1685,,"(45.9401812, 13.6201754)",45.9401812,13.6201754
3169,7677,"Mutu, Wangechi",Female,born 1972,1972.0,,"Nairobi, Kenya",,http://www.tate.org.uk/art/artists/wangechi-mutu-7677,,"(-1.2920659, 36.8219462)",-1.2920659,36.8219462
